@relation novi2

@attribute File {org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedExceptionReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedInterfaceReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedNameReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedTypeReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnSingleNameReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnSingleTypeReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionParser.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionScanner.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/InvalidCursorLocation.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/AssistOptions.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/AssistParser.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/Engine.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/ISearchableNameEnvironment.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/ISearchRequestor.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/ISelectionRequestor.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/RelevanceConstants.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionNodeFound.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnArgumentName.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnExplicitConstructorCall.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnFieldReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnFieldType.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnImportReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnLocalName.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnMessageSend.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnPackageReference.java,org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/select/SelectionOnQualifiedAllocationExpression.java}
@attribute LOC numeric
@attribute SLOC_P numeric
@attribute SLOC_L numeric
@attribute MVG numeric
@attribute BLOC numeric
@attribute C_SLOC numeric
@attribute CLOC numeric
@attribute CWORD numeric
@attribute HCLOC numeric
@attribute HCWORD numeric
@attribute No_Methods numeric
@attribute LCOM numeric
@attribute AVCC numeric
@attribute NOS numeric
@attribute HBUG numeric
@attribute HEFF numeric
@attribute UWCS numeric
@attribute INST numeric
@attribute PACK numeric
@attribute RFC numeric
@attribute CBO numeric
@attribute MI numeric
@attribute CCML numeric
@attribute NLOC numeric
@attribute F_IN numeric
@attribute DIT numeric
@attribute MINC numeric
@attribute S_R numeric
@attribute R_R numeric
@attribute COH numeric
@attribute LMC numeric
@attribute LCOM2 numeric
@attribute MAXCC numeric
@attribute HVOL numeric
@attribute HIER numeric
@attribute NQU numeric
@attribute FOUT numeric
@attribute SIX numeric
@attribute EXT numeric
@attribute NSUP numeric
@attribute TCC numeric
@attribute NSUB numeric
@attribute MPC numeric
@attribute NCO numeric
@attribute INTR numeric
@attribute CCOM numeric
@attribute HLTH numeric
@attribute MOD numeric
@attribute bug_cnt numeric

@data
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedExceptionReference.java,56,16,12,2,3,3,37,170,10,59,2,0,1.5,14,0.13,4001.14,2,0,0,2,0,103.03,30,15,0,1,113.39,0,0.5,0,0,2,2,404.49,0,1,0,0,0,1,3,0,0,1,0,4,92,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedInterfaceReference.java,29,16,12,2,3,3,10,62,10,59,2,0,1.5,14,0.13,4001.14,2,0,0,2,0,163.39,3,15,0,1,113.39,0,0.5,0,0,2,2,404.49,0,1,0,0,0,1,3,0,0,1,0,3,92,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedNameReference.java,79,40,33,4,6,4,33,173,10,59,4,0.17,2,32,0.39,12269.5,6,2,2,4,0,159.7,5,37,0,1,109.7,0,0.5,0.62,0,6,4,1180.72,0,1,0,0,0,1,8,0,0,3,0,5,256,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnQualifiedTypeReference.java,67,34,26,4,6,4,27,155,10,59,5,0.75,1.4,26,0.25,6451.05,6,1,2,5,0,170.35,8,31,0,1,120.35,0,0.5,0.4,1,8,2,756.74,0,1,0,0,0,1,7,0,0,4,0,6,175,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnSingleNameReference.java,48,14,10,1,4,1,30,140,10,59,3,0,1,7,0.06,593.98,3,0,2,3,0,141.69,1,11,0,1,141.69,0,0.5,0,0,3,1,167.91,1,1,0,0,0,1,3,0,0,2,0,1,49,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionOnSingleTypeReference.java,64,33,24,6,5,1,26,139,10,59,6,0.6,1.33,21,0.16,2548.69,7,1,2,6,0,132.44,4,30,0,1,132.44,0,0.5,0.5,1,6,2,482.78,2,1,0,0,0,1,8,0,0,5,0,2,125,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionParser.java,1387,990,723,227,99,48,298,2408,10,59,65,0.02,3.38,715,10.18,828964,92,27,6,65,0,81.67,327,983,0,1,99.54,0,0.5,0.05,23,724,30,30541.8,39,0,0,0,0,1,220,0,0,65,0,210,5519,1,3
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/CompletionScanner.java,708,599,354,277,26,25,83,726,10,59,6,0.2,26.17,357,6.81,1846500,11,5,2,6,0,40.83,88,596,0,1,60.97,0,0.5,0.37,0,0,135,20440.9,11,0,0,0,0,1,157,0,0,6,0,74,2832,1,2
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/complete/InvalidCursorLocation.java,31,11,9,0,5,4,15,88,10,59,1,4,1,8,0.08,1262.75,6,5,0,1,0,62.89,9,10,0,1,112.89,0,0.5,0.2,0,1,1,242.99,0,0,0,0,0,1,1,0,0,1,0,6,59,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java,2703,2092,1101,370,416,54,195,1341,10,59,47,0.06,8.53,1196,20.76,2210340,74,27,20,50,1,63.69,239,2069,1,1,81.57,0,0.5,0.1,29,776,34,62267.9,5,0,0,0,3,1,401,0,3,47,4,132,10048,2,12
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/AssistOptions.java,72,45,31,9,7,4,20,97,10,59,2,0.67,6,32,0.42,21535.1,8,6,1,2,0,51.63,14,43,0,1,93.92,0,0,0.5,0,2,11,1245.01,0,0,0,0,0,0,12,0,0,2,0,8,238,1,0
org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/impl/AssistParser.java,1010,745,568,99,84,25,181,1451,10,59,60,0.03,2.42,549,6.59,585014,73,13,25,60,0,124.4,192,719,0,1,103.79,0,0.5,0.11,20,748,28,19767,36,10,0,0,0,1,145,0,0,50,0,128,3740,2,1
